Feature,Rank_IC,Pearson_IC,IC_Abs,P_Value,Significant
pca_5,0.04078639417001592,0.03061092567824544,0.04078639417001592,0.0001747920986568549,True
pca_18,0.02124361762084877,0.015473660210344959,0.02124361762084877,0.05068777123267339,False
pca_13,0.015590892368663439,0.0015545422699014674,0.015590892368663439,0.1515528862244262,False
pca_16,0.014213051927424461,0.025940131500379708,0.014213051927424461,0.19110434029376022,False
pca_15,0.014103274204442847,0.01334721017612955,0.014103274204442847,0.19455523470737238,False
pca_2,0.009203095044740253,0.009252449654487096,0.009203095044740253,0.39728638514966474,False
pca_11,0.00911721286957425,-0.0032770433606368627,0.00911721286957425,0.4017061566189001,False
pca_1,0.009092077037631251,0.023097591509582117,0.009092077037631251,0.4030052865402729,False
pca_17,0.008960545930001059,-0.0026120164884182893,0.008960545930001059,0.4098443355184227,False
pca_12,0.008564981784129535,0.001697744598422258,0.008564981784129535,0.4308234853387055,False
pca_4,0.008521591560783824,0.004090069973760506,0.008521591560783824,0.4331620409750051,False
pca_10,0.002163812482830251,0.009882175281080709,0.002163812482830251,0.8422486211017048,False
pca_6,0.0021125715281431704,-0.002015321266965293,0.0021125715281431704,0.8459369733064057,False
pca_19,-0.0038034898743468065,0.004465536838673875,0.0038034898743468065,0.7264668074279302,False
pca_3,-0.012133910494376747,-0.005134780356528735,0.012133910494376747,0.2643947165479386,False
pca_9,-0.015022059679450294,-0.00614914194155225,0.015022059679450294,0.1670515437359204,False
pca_7,-0.015134161886162439,-0.01335928096282491,0.015134161886162439,0.16390652099969358,False
pca_20,-0.015892535059461588,-0.02056821696533077,0.015892535059461588,0.143791416259643,False
pca_14,-0.0253200842646716,-0.008073914557155261,0.0253200842646716,0.01984837649365816,True
pca_8,-0.026726073675179336,-0.026974510231208698,0.026726073675179336,0.013948606597569975,True
