Feature,Rank_IC_Mean,Rank_IC_IR,IC_T_Stat,Long_Short_Ret,Win_Rate,Abs_IC
pca_4,0.19613207168876748,1.2642722378304978,6.063236652236618,0.15596942991654997,0.875,0.19613207168876748
pca_7,0.15623653159829357,1.047913251479105,5.025615405140621,0.07834670300050574,0.6666666666666666,0.15623653159829357
pca_18,0.11132957074613026,0.5391334053610566,2.5855929807014904,0.09197728786424292,0.7916666666666666,0.11132957074613026
pca_8,0.1081975198618809,0.6345991073955126,3.0434304039135136,0.08125323976472533,0.625,0.1081975198618809
pca_37,0.10678862483020994,0.7814180277171147,3.747549210210591,0.05549883159965376,0.5416666666666666,0.10678862483020994
pca_24,0.10454790175394076,0.6062632917333038,2.9075366059219143,0.06379127181421178,0.7083333333333334,0.10454790175394076
pca_22,-0.10272978617190653,-0.7071828190335248,-3.3915296562661323,-0.10724725739038672,0.25,0.10272978617190653
pca_20,0.07913556467586788,0.4805165602633303,2.304476467184676,0.07278379300060302,0.7083333333333334,0.07913556467586788
pca_51,-0.07840588022526486,-0.46330914694455466,-2.22195261195582,-0.09078374445660209,0.3333333333333333,0.07840588022526486
pca_30,0.07330008446494088,0.4450999153313441,2.134624204969882,0.010921269968681915,0.625,0.07330008446494088
pca_11,-0.0719670871568322,-0.39012136793619173,-1.8709563542662684,-0.11357727625953158,0.3333333333333333,0.0719670871568322
pca_76,-0.07151958883937808,-0.5885520791690597,-2.82259661439022,-0.10939613678950748,0.3333333333333333,0.07151958883937808
pca_71,0.06902394946067283,0.5169571050944136,2.479239180812275,0.09928901563278088,0.8333333333333334,0.06902394946067283
pca_56,0.06848984901254757,0.5685117437333622,2.7264865419699413,0.044296238760017904,0.625,0.06848984901254757
pca_9,-0.06804323552112883,-0.485605059688864,-2.328880053136009,-0.030238512992141295,0.3333333333333333,0.06804323552112883
pca_12,-0.06667462053612204,-0.49763875064150187,-2.3865916075484725,-0.047587495112142074,0.2916666666666667,0.06667462053612204
pca_5,0.06664664944826836,0.38090114070800113,1.826737697873206,0.060605843142117956,0.5416666666666666,0.06664664944826836
pca_61,-0.06514313119201702,-0.5939068144024311,-2.848277022421416,-0.03327418784965375,0.2916666666666667,0.06514313119201702
pca_26,0.06479005193152941,0.2924682881288045,1.4026286357774278,0.05737589890921646,0.625,0.06479005193152941
pca_54,-0.06285964569742056,-0.4336200346992413,-2.079568631550577,-0.09546958934844772,0.20833333333333334,0.06285964569742056
