symbol,report_year,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,pca_13,pca_14,pca_15,pca_16,pca_17,pca_18,pca_19,pca_20
000036,2021,-2.74326,-0.150177,0.164885,0.200401,0.241962,0.013895,-0.173947,-0.086793,-0.084555,-0.011699,-0.045476,0.013274,0.074702,-0.049886,0.028069,0.011766,0.022336,-0.012965,0.022312,-0.04434
000037,2021,0.029616,-0.74581,0.3838,0.150595,0.111326,0.024577,-0.064114,-0.015548,0.087195,0.116887,-0.005116,0.047148,-0.00726,0.032387,-0.05204,-0.041823,0.081005,-0.040485,0.063542,-0.047986
000042,2021,-4.517596,0.538125,-0.218941,0.038005,0.142498,-0.020529,-0.173088,-0.053276,0.005853,-0.15995,0.027125,0.01548,0.092086,-0.07443,0.025619,-0.018688,0.000829,-0.010425,-0.014234,-0.035465
000045,2021,9.561169,1.766922,-1.187507,0.514216,0.511121,0.398252,-0.15331,0.646361,0.063496,-0.118577,-0.006496,0.078993,-0.047797,0.034309,-0.041991,0.235562,0.048875,-0.127319,-0.061608,0.040432
000048,2021,0.02904,-0.518663,0.338994,0.201061,0.004493,0.290381,0.033796,-0.131666,0.064444,-0.021816,0.116286,-0.070949,0.007271,0.027187,0.034993,0.031147,-0.00563,0.030616,-0.08832,-0.010462
000049,2021,-1.573451,-0.422932,0.288649,0.140219,-0.005181,0.057205,-0.179864,-0.06222,0.097833,0.140324,-0.099789,0.080988,0.018907,-0.072849,0.02472,0.012394,0.073322,-0.03169,-0.011524,-0.008701
000050,2021,0.178518,-0.602756,0.382943,0.060883,-0.162748,-0.059397,-0.080363,0.000142,0.107684,0.117516,0.034979,0.073429,-0.003494,-0.073795,0.041117,0.043163,0.091265,-0.020034,-0.006845,0.01392
000055,2021,-3.089505,0.243571,-0.140329,0.168068,-0.066303,0.612652,0.226427,-0.151609,-0.167403,-0.082744,-0.054316,0.061706,0.194307,0.120502,-0.038969,-0.069272,0.001507,0.01395,0.109192,-0.015893
000056,2021,-2.617174,-0.205147,0.203013,0.206972,0.217923,-0.017053,-0.222214,-0.054682,-0.056851,-0.016143,-0.049127,0.0162,0.05955,-0.046441,0.026599,0.001254,0.088623,0.019561,-0.016349,-0.033468
000058,2021,1.219726,-0.764077,0.381082,0.164216,0.221443,0.074276,0.011433,-0.085276,0.066075,0.011487,0.068133,-0.137168,0.04203,0.066631,-0.016508,0.025039,0.053014,0.046956,-0.026479,-0.011352
000059,2021,-2.135849,-0.450346,0.270965,0.346238,0.474688,-0.033487,-0.00532,0.104668,-0.239058,0.057722,-0.10296,0.065607,0.053134,0.0213,0.105823,-0.087132,0.014078,0.022111,0.012053,-0.079597
000060,2021,-1.079606,-0.502686,0.346527,0.108871,0.000596,-0.134463,-0.142328,0.041868,-0.010604,0.093916,-0.074358,-0.030855,-0.066035,0.024963,-0.05039,0.027051,0.054404,0.007413,-0.026918,0.004628
000061,2021,-1.8379,-0.222057,0.200913,0.226395,0.207609,0.293732,0.043879,-0.185358,-0.141666,-0.027285,0.05496,-0.131901,0.008581,0.060546,0.007564,0.009137,-0.018814,-0.045295,-0.05815,-0.014913
000062,2021,-2.405002,-0.20825,0.164354,0.283263,0.323344,0.17594,0.068338,-0.019337,-0.228885,0.018745,-0.043714,0.008706,0.052614,0.042662,0.048748,-0.050712,0.017573,-0.003661,0.002931,-0.035244
000065,2021,-0.727548,-0.487043,0.334359,0.163786,-0.012771,0.157278,-0.11611,-0.120177,0.105915,0.040215,0.001687,-0.037722,0.028661,-0.017124,0.019831,0.027772,0.039125,-0.004862,-0.069243,0.004443
000066,2021,-1.420106,-0.529951,0.361423,0.202229,0.254288,-0.199653,-0.157241,0.049896,-0.043781,0.106722,-0.072719,-0.014503,-0.035414,-0.003407,-0.00387,0.013703,0.038547,0.02148,-0.00437,-0.025532
000068,2021,-4.474904,0.582713,-0.228268,-0.002441,0.138422,0.031584,-0.08382,-0.116998,-0.050045,-0.066471,0.033107,-0.0353,0.01788,-0.04705,-0.050146,0.037313,0.010357,-0.044285,-0.032599,0.017535
000069,2021,-4.910748,0.597806,-0.216468,0.09211,0.311186,-0.029319,-0.162656,-0.102254,-0.0297,-0.089591,0.001265,0.053357,0.164649,-0.251081,0.115692,0.041424,-0.077097,0.04802,-0.074469,-0.113172
000070,2021,-3.899141,0.335763,-0.093643,0.079977,0.153989,0.106083,-0.097795,-0.152939,-0.081084,-0.033021,0.005427,0.001456,0.060109,-0.069895,-0.002022,0.039108,-0.022381,-0.051441,-0.050246,-0.001666
000078,2021,4.613304,-0.38907,-0.04085,-0.302246,0.136881,-0.192713,0.115564,-0.097051,-0.189424,-0.084799,-0.152938,-0.273301,0.073875,0.068063,-0.019972,0.032304,-0.088975,0.030009,-0.070155,0.017013
000088,2021,-0.06986,-0.668695,0.41497,0.174494,0.168229,-0.085999,-0.077896,-0.016544,0.042577,0.119895,-0.002384,-0.0423,-0.042888,-0.01258,0.021814,0.021228,0.040019,0.015374,-0.043284,-0.027429
000089,2021,-4.810354,0.576386,-0.226509,0.064629,0.397547,-0.121723,0.020707,-0.003205,-0.234433,-0.024689,0.032653,-0.013695,0.008827,-0.080864,0.028684,0.013461,0.028277,0.015063,-0.000578,-0.034021
000090,2021,-2.972773,0.128877,0.039425,0.120103,0.021802,0.238499,-0.104473,-0.21133,-0.041426,-0.089466,0.075751,-0.048131,0.03388,-0.02538,-0.040554,0.051775,-0.038823,-0.00916,-0.067865,-0.018809
000096,2021,-2.362587,-0.089737,0.137345,0.106631,-0.114773,0.249178,-0.17595,-0.198591,0.110074,0.054423,-0.073607,0.034254,0.035706,-0.080256,-0.005014,0.043275,0.036562,-0.031718,-0.021441,0.015427
000099,2021,-1.920068,-0.401609,0.297571,0.228087,0.279393,-0.064971,-0.166048,-0.021165,-0.089498,0.015259,-0.058963,-0.048268,0.021973,0.015536,-0.005431,0.027735,0.031981,0.029696,-0.012281,-0.027205
000151,2021,3.52592,-0.150595,-0.063066,-0.294589,-0.583077,0.012571,0.193349,-0.031529,-0.110834,-0.076775,0.055598,-0.00815,-0.008593,-0.02461,-0.075077,-0.020869,0.12786,0.018696,-0.073582,-0.047776
000153,2021,-4.218365,0.530239,-0.21374,-0.004316,0.046548,0.182897,-0.106247,-0.223193,-0.016156,-0.129756,0.065552,-0.048565,0.101871,-0.022364,-0.070826,0.039194,0.014459,-0.052674,-0.011889,0.010412
000155,2021,2.272508,-1.003936,0.376664,0.284877,0.692646,-0.058998,0.151761,0.128768,0.06358,0.087748,-0.041442,-0.045768,0.086094,0.057967,0.052087,-0.051064,-0.037412,0.012768,0.024486,-0.014134
000156,2021,-8.68816,2.36481,-1.713812,-0.852865,-0.175393,-0.463301,0.346983,0.350514,0.820854,0.231027,-0.145972,-0.193973,0.306185,0.193781,0.297216,-0.053328,0.14987,0.032826,-0.133075,-0.120861
000157,2021,-1.145236,-0.396042,0.268837,0.103559,-0.191152,0.117914,-0.149373,-0.040376,0.154702,0.09572,-0.081642,0.034805,-0.010691,-0.011236,0.015588,0.007119,0.090087,-0.028306,0.017222,0.054018
000158,2021,-3.870329,0.311429,-0.090217,0.131886,0.343493,0.049192,0.205746,-0.024432,-0.320342,0.130031,-0.026209,0.037144,-0.139749,-0.025901,0.022377,-0.006586,-0.01595,-0.027733,-0.004634,0.021507
000159,2021,0.80322,-0.891186,0.437035,0.211537,0.390108,-0.102989,-0.027605,0.008101,0.069249,0.121009,-0.026651,-0.057799,0.020691,0.049582,-0.011035,-0.0122,0.065433,0.011136,-0.02412,-0.028154
