symbol,name,report_year,disclosure_date,pdf_title,pdf_url,buy_date,sell_date,future_return
49,德赛电池,2022,2023-04-28,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000049&announcementId=1216646478&orgId=gssz0000049&announcementTime=2023-04-28,2023-05-04,2023-07-31,-0.029183
50,深天马Ａ,2022,2023-03-15,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000050&announcementId=1216116180&orgId=gssz0000050&announcementTime=2023-03-15,2023-03-16,2023-06-14,-0.070732
55,方大集团,2022,2023-02-28,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000055&announcementId=1215991129&orgId=gssz0000055&announcementTime=2023-02-28,2023-03-01,2023-05-30,-0.082287
56,皇庭国际,2022,2023-04-29,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000056&announcementId=1216705336&orgId=gssz0000056&announcementTime=2023-04-29,2023-05-04,2023-07-31,-0.030273
58,深 赛 格,2022,2023-04-27,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000058&announcementId=1216621650&orgId=gssz0000058&announcementTime=2023-04-27,2023-04-28,2023-07-28,0.130237
59,华锦股份,2022,2023-04-14,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000059&announcementId=1216405699&orgId=gssz0000059&announcementTime=2023-04-14,2023-04-17,2023-07-17,-0.102707
61,农 产 品,2022,2023-04-27,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000061&announcementId=1216627190&orgId=gssz0000061&announcementTime=2023-04-27,2023-04-28,2023-07-28,0.088219
60,中金岭南,2022,2023-04-10,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000060&announcementId=1216358772&orgId=gssz0000060&announcementTime=2023-04-10,2023-04-11,2023-07-11,0.102633
62,深圳华强,2022,2023-03-15,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000062&announcementId=1216116554&orgId=gssz0000062&announcementTime=2023-03-15,2023-03-16,2023-06-14,-0.059189
63,中兴通讯,2022,2023-03-11,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000063&announcementId=1216094376&orgId=gssz0000063&announcementTime=2023-03-11,2023-03-13,2023-06-09,0.163842
65,北方国际,2022,2023-04-25,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000065&announcementId=1216562088&orgId=gssz0000065&announcementTime=2023-04-25,2023-04-26,2023-07-26,-0.059804
66,中国长城,2022,2023-04-29,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000066&announcementId=1216700847&orgId=gssz0000066&announcementTime=2023-04-29,2023-05-04,2023-07-31,0.082959
68,华控赛格,2022,2023-04-29,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000068&announcementId=1216701006&orgId=gssz0000068&announcementTime=2023-04-29,2023-05-04,2023-07-31,0.154173
69,华侨城Ａ,2022,2023-03-31,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000069&announcementId=1216276910&orgId=gssz0000069&announcementTime=2023-03-31,2023-04-03,2023-07-04,-0.068305
70,特发信息,2022,2023-04-28,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000070&announcementId=1216660904&orgId=gssz0000070&announcementTime=2023-04-28,2023-05-04,2023-07-31,0.001055
78,海王生物,2022,2023-04-28,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000078&announcementId=1216662203&orgId=gssz0000078&announcementTime=2023-04-28,2023-05-04,2023-07-31,-0.047516
88,盐 田 港,2022,2023-04-29,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000088&announcementId=1216688902&orgId=gssz0000088&announcementTime=2023-04-29,2023-05-04,2023-07-31,-0.035039
89,深圳机场,2022,2023-03-31,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000089&announcementId=1216280626&orgId=gssz0000089&announcementTime=2023-03-31,2023-04-03,2023-07-04,-0.024634
90,天健集团,2022,2023-04-14,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000090&announcementId=1216405751&orgId=gssz0000090&announcementTime=2023-04-14,2023-04-17,2023-07-17,-0.09824
96,广聚能源,2022,2023-04-18,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000096&announcementId=1216438315&orgId=gssz0000096&announcementTime=2023-04-18,2023-04-19,2023-07-19,0.039832
99,中信海直,2022,2023-03-23,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000099&announcementId=1216191084&orgId=gssz0000099&announcementTime=2023-03-23,2023-03-24,2023-06-26,0.184676
