symbol,name,report_year,disclosure_date,pdf_title,pdf_url,buy_date,sell_date,future_return
000001,平安银行,2024,2025-03-15,2024年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000001&announcementId=1222806505&orgId=gssz0000001&announcementTime=2025-03-15,2025-03-17,2025-06-16,0.045521
000002,万  科Ａ,2024,2025-04-01,2024年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000002&announcementId=1222974139&orgId=gssz0000002&announcementTime=2025-04-01,2025-04-02,2025-07-02,-0.083212
000004,*ST国华,2024,2025-04-29,2024年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000004&announcementId=1223381901&orgId=gssz0000004&announcementTime=2025-04-29,2025-04-30,2025-07-29,0.104044
000006,深振业Ａ,2024,2025-04-26,2024年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000006&announcementId=1223309112&orgId=gssz0000006&announcementTime=2025-04-26,2025-04-28,2025-07-25,-0.006341
000007,全新好,2024,2025-04-25,2024年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000007&announcementId=1223275670&orgId=gssz0000007&announcementTime=2025-04-25,2025-04-28,2025-07-25,0.031116
000008,神州高铁,2024,2025-04-19,2024年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000008&announcementId=1223150123&orgId=gssz0000008&announcementTime=2025-04-19,2025-04-21,2025-07-18,0.03716
000009,中国宝安,2024,2025-04-16,2024年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000009&announcementId=1223101050&orgId=gssz0000009&announcementTime=2025-04-16,2025-04-17,2025-07-16,0.115247
000010,美丽生态,2024,2025-04-29,2024年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000010&announcementId=1223368921&orgId=gssz0000010&announcementTime=2025-04-29,2025-04-30,2025-07-29,0.373112
000012,南  玻Ａ,2024,2025-04-28,2024年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000012&announcementId=1223303879&orgId=gssz0000012&announcementTime=2025-04-28,2025-04-29,2025-07-28,0.047855
000011,深物业A,2024,2025-03-29,2024年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000011&announcementId=1222946147&orgId=gssz0000011&announcementTime=2025-03-29,2025-03-31,2025-06-30,0.021656
000014,沙河股份,2024,2025-03-29,2024年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000014&announcementId=1222943281&orgId=gssz0000014&announcementTime=2025-03-29,2025-03-31,2025-06-30,0.040478
000016,深康佳Ａ,2024,2025-04-15,2024年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000016&announcementId=1223095858&orgId=gssz0000016&announcementTime=2025-04-15,2025-04-16,2025-07-15,-0.079471
000017,深中华A,2024,2025-04-22,2024年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000017&announcementId=1223191295&orgId=gssz0000017&announcementTime=2025-04-22,2025-04-23,2025-07-22,-0.038932
000019,深粮控股,2024,2025-04-29,2024年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000019&announcementId=1223375162&orgId=gssz0000019&announcementTime=2025-04-29,2025-04-30,2025-07-29,0.048336
000020,深华发Ａ,2024,2025-04-22,2024年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000020&announcementId=1223194529&orgId=gssz0000020&announcementTime=2025-04-22,2025-04-23,2025-07-22,0.148387
000021,深科技,2024,2025-04-25,2024年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000021&announcementId=1223270327&orgId=gssz0000021&announcementTime=2025-04-25,2025-04-28,2025-07-25,0.086067
000025,特  力Ａ,2024,2025-03-28,2024年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000025&announcementId=1222927703&orgId=gssz0000025&announcementTime=2025-03-28,2025-03-31,2025-06-30,0.061065
000026,飞亚达,2024,2025-03-14,2024年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000026&announcementId=1222788741&orgId=gssz0000026&announcementTime=2025-03-14,2025-03-17,2025-06-16,0.109197
000027,深圳能源,2024,2025-04-18,2024年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000027&announcementId=1223126126&orgId=gssz0000027&announcementTime=2025-04-18,2025-04-21,2025-07-18,0.103504
000028,国药一致,2024,2025-04-08,2024年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000028&announcementId=1223019869&orgId=gssz0000028&announcementTime=2025-04-08,2025-04-09,2025-07-08,0.048068
000029,深深房Ａ,2024,2025-03-22,2024年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000029&announcementId=1222870093&orgId=gssz0000029&announcementTime=2025-03-22,2025-03-24,2025-06-23,0.306631
000030,富奥股份,2024,2025-04-18,2024年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000030&announcementId=1223124906&orgId=gssz0000030&announcementTime=2025-04-18,2025-04-21,2025-07-18,0.129888
000032,深桑达Ａ,2024,2025-04-25,2024年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000032&announcementId=1223281504&orgId=gssz0000032&announcementTime=2025-04-25,2025-04-28,2025-07-25,0.047599
000031,大悦城,2024,2025-04-19,2024年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000031&announcementId=1223153545&orgId=gssz0000031&announcementTime=2025-04-19,2025-04-21,2025-07-18,0.057864
000034,神州数码,2024,2025-03-29,2024年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000034&announcementId=1222950126&orgId=gssz0000034&announcementTime=2025-03-29,2025-03-31,2025-06-30,-0.076118
000035,中国天楹,2024,2025-04-29,2024年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000035&announcementId=1223370947&orgId=gssz0000035&announcementTime=2025-04-29,2025-04-30,2025-07-29,0.030378
000036,华联控股,2024,2025-04-29,2024年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000036&announcementId=1223363605&orgId=gssz0000036&announcementTime=2025-04-29,2025-04-30,2025-07-29,0.03563
000037,深南电A,2024,2025-04-23,2024年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000037&announcementId=1223212039&orgId=gssz0000037&announcementTime=2025-04-23,2025-04-24,2025-07-23,0.141309
000039,中集集团,2024,2025-03-28,2024年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000039&announcementId=1222938612&orgId=gssz0000039&announcementTime=2025-03-28,2025-03-31,2025-06-30,-0.126648
