symbol,name,report_year,disclosure_date,pdf_title,pdf_url,buy_date,sell_date,future_return
000001,平安银行,2021,2022-03-10,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000001&announcementId=1212533413&orgId=gssz0000001&announcementTime=2022-03-10,2022-03-11,2022-06-13,-0.034027
000002,万  科Ａ,2021,2022-03-31,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000002&announcementId=1212750450&orgId=gssz0000002&announcementTime=2022-03-31,2022-04-01,2022-07-04,0.066488
000004,*ST国华,2021,2022-04-30,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000004&announcementId=1213274256&orgId=gssz0000004&announcementTime=2022-04-30 16:34:49,2022-05-06,2022-08-01,-0.225906
000006,深振业Ａ,2021,2022-04-16,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000006&announcementId=1212943740&orgId=gssz0000006&announcementTime=2022-04-16,2022-04-18,2022-07-15,-0.12931
000007,全新好,2021,2022-04-30,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000007&announcementId=1213265897&orgId=gssz0000007&announcementTime=2022-04-30,2022-05-05,2022-08-01,0.062769
000008,神州高铁,2021,2022-04-29,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000008&announcementId=1213213656&orgId=gssz0000008&announcementTime=2022-04-29,2022-05-05,2022-07-29,0.135075
000009,中国宝安,2021,2022-03-31,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000009&announcementId=1212752790&orgId=gssz0000009&announcementTime=2022-03-31,2022-04-01,2022-07-04,0.246834
000010,美丽生态,2021,2022-04-28,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000010&announcementId=1213158839&orgId=gssz0000010&announcementTime=2022-04-28,2022-04-29,2022-07-28,0.343984
000011,深物业A,2021,2022-03-30,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000011&announcementId=1212727684&orgId=gssz0000011&announcementTime=2022-03-30,2022-03-31,2022-07-01,0.086957
000012,南  玻Ａ,2021,2022-04-25,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000012&announcementId=1213059469&orgId=gssz0000012&announcementTime=2022-04-25,2022-04-26,2022-07-25,0.103864
000014,沙河股份,2021,2022-03-31,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000014&announcementId=1212745865&orgId=gssz0000014&announcementTime=2022-03-31,2022-04-01,2022-07-04,-0.182475
000016,深康佳Ａ,2021,2022-03-30,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000016&announcementId=1212725368&orgId=gssz0000016&announcementTime=2022-03-30,2022-03-31,2022-07-01,0.189919
000019,深粮控股,2021,2022-04-26,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000019&announcementId=1213109169&orgId=gssz0000019&announcementTime=2022-04-26,2022-04-27,2022-07-26,0.129256
000017,深中华A,2021,2022-04-26,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000017&announcementId=1213118941&orgId=gssz0000017&announcementTime=2022-04-26,2022-04-27,2022-07-26,0.559621
000021,深科技,2021,2022-04-21,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000021&announcementId=1213001411&orgId=gssz0000021&announcementTime=2022-04-21,2022-04-22,2022-07-21,0.192697
000020,深华发Ａ,2021,2022-04-26,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000020&announcementId=1213102215&orgId=gssz0000020&announcementTime=2022-04-26,2022-04-27,2022-07-26,0.232116
000025,特  力Ａ,2021,2022-04-08,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000025&announcementId=1212840440&orgId=gssz0000025&announcementTime=2022-04-08,2022-04-11,2022-07-08,0.893742
000026,飞亚达,2021,2022-03-10,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000026&announcementId=1212535940&orgId=gssz0000026&announcementTime=2022-03-10,2022-03-11,2022-06-13,0.035284
000027,深圳能源,2021,2022-04-22,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000027&announcementId=1213028283&orgId=gssz0000027&announcementTime=2022-04-22,2022-04-25,2022-07-22,0.112488
000028,国药一致,2021,2022-03-30,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000028&announcementId=1212727082&orgId=gssz0000028&announcementTime=2022-03-30,2022-03-31,2022-07-01,-0.092504
000030,富奥股份,2021,2022-04-20,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000030&announcementId=1212978956&orgId=gssz0000030&announcementTime=2022-04-20,2022-04-21,2022-07-20,0.122141
000031,大悦城,2021,2022-04-12,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000031&announcementId=1212886659&orgId=gssz0000031&announcementTime=2022-04-12,2022-04-13,2022-07-12,-0.153233
000032,深桑达Ａ,2021,2022-04-22,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000032&announcementId=1213027903&orgId=gssz0000032&announcementTime=2022-04-22,2022-04-25,2022-07-22,-0.007206
000034,神州数码,2021,2022-03-29,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000034&announcementId=1212716482&orgId=gssz0000034&announcementTime=2022-03-29,2022-03-30,2022-06-30,0.0718
000035,中国天楹,2021,2022-03-31,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000035&announcementId=1212745954&orgId=gssz0000035&announcementTime=2022-03-31,2022-04-01,2022-07-04,0.1014
000036,华联控股,2021,2022-04-29,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000036&announcementId=1213201697&orgId=gssz0000036&announcementTime=2022-04-29,2022-05-05,2022-07-29,-0.019389
000037,深南电A,2021,2022-03-25,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000037&announcementId=1212667344&orgId=gssz0000037&announcementTime=2022-03-25,2022-03-28,2022-06-28,0.297708
000039,中集集团,2021,2022-03-29,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000039&announcementId=1212710745&orgId=gssz0000039&announcementTime=2022-03-29,2022-03-30,2022-06-30,0.012423
000042,中洲控股,2021,2022-04-13,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000042&announcementId=1212898226&orgId=gssz0000042&announcementTime=2022-04-13,2022-04-14,2022-07-13,0.08751
000045,深纺织Ａ,2021,2022-03-17,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000045&announcementId=1212591626&orgId=gssz0000045&announcementTime=2022-03-17,2022-03-18,2022-06-20,-0.084768
000048,京基智农,2021,2022-03-16,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000048&announcementId=1212582122&orgId=gssz0000048&announcementTime=2022-03-16,2022-03-17,2022-06-17,-0.010568
000049,德赛电池,2021,2022-03-30,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000049&announcementId=1212728451&orgId=gssz0000049&announcementTime=2022-03-30,2022-03-31,2022-07-01,0.226921
000050,深天马Ａ,2021,2022-03-15,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000050&announcementId=1212568739&orgId=gssz0000050&announcementTime=2022-03-15,2022-03-16,2022-06-16,-0.064239
000056,皇庭国际,2021,2022-04-28,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000056&announcementId=1213175395&orgId=gssz0000056&announcementTime=2022-04-28,2022-04-29,2022-07-28,0.147678
000055,方大集团,2021,2022-03-30,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000055&announcementId=1212725894&orgId=gssz0000055&announcementTime=2022-03-30,2022-03-31,2022-07-01,-0.010653
000059,华锦股份,2021,2022-04-13,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000059&announcementId=1212897106&orgId=gssz0000059&announcementTime=2022-04-13,2022-04-14,2022-07-13,-0.109361
000058,深 赛 格,2021,2022-03-18,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000058&announcementId=1212608393&orgId=gssz0000058&announcementTime=2022-03-18,2022-03-21,2022-06-21,0.003186
000060,中金岭南,2021,2022-03-29,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000060&announcementId=1212711064&orgId=gssz0000060&announcementTime=2022-03-29,2022-03-30,2022-06-30,0.015485
000061,农 产 品,2021,2022-04-26,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000061&announcementId=1213118045&orgId=gssz0000061&announcementTime=2022-04-26,2022-04-27,2022-07-26,0.021323
000062,深圳华强,2021,2022-03-11,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000062&announcementId=1212541487&orgId=gssz0000062&announcementTime=2022-03-11,2022-03-14,2022-06-14,-0.053814
000063,中兴通讯,2021,2022-03-09,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000063&announcementId=1212529495&orgId=gssz0000063&announcementTime=2022-03-09,2022-03-10,2022-06-10,-0.042846
000065,北方国际,2021,2022-04-30,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000065&announcementId=1213257199&orgId=gssz0000065&announcementTime=2022-04-30,2022-05-05,2022-07-29,0.077638
000066,中国长城,2021,2022-04-30,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000066&announcementId=1213249559&orgId=gssz0000066&announcementTime=2022-04-30,2022-05-05,2022-07-29,0.097047
000068,华控赛格,2021,2022-03-05,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000068&announcementId=1212512239&orgId=gssz0000068&announcementTime=2022-03-05,2022-03-07,2022-06-07,0.0961
000069,华侨城Ａ,2021,2022-03-31,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000069&announcementId=1212757289&orgId=gssz0000069&announcementTime=2022-03-31,2022-04-01,2022-07-04,-0.161901
000070,特发信息,2021,2022-04-30,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000070&announcementId=1213271122&orgId=gssz0000070&announcementTime=2022-04-30,2022-05-05,2022-07-29,0.434783
000078,海王生物,2021,2022-04-29,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000078&announcementId=1213202012&orgId=gssz0000078&announcementTime=2022-04-29,2022-05-05,2022-07-29,0.099772
000088,盐 田 港,2021,2022-04-09,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000088&announcementId=1212854858&orgId=gssz0000088&announcementTime=2022-04-09,2022-04-11,2022-07-08,-0.063078
000089,深圳机场,2021,2022-04-09,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000089&announcementId=1212857408&orgId=gssz0000089&announcementTime=2022-04-09,2022-04-11,2022-07-08,-0.018415
000090,天健集团,2021,2022-04-16,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000090&announcementId=1212941883&orgId=gssz0000090&announcementTime=2022-04-16,2022-04-18,2022-07-15,-0.073664
000099,中信海直,2021,2022-03-28,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000099&announcementId=1212687423&orgId=gssz0000099&announcementTime=2022-03-28,2022-03-29,2022-06-29,0.151434
000096,广聚能源,2021,2022-04-12,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000096&announcementId=1212882308&orgId=gssz0000096&announcementTime=2022-04-12,2022-04-13,2022-07-12,0.069523
000100,TCL科技,2021,2022-04-28,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000100&announcementId=1213177032&orgId=gssz0000100&announcementTime=2022-04-28,2022-04-29,2022-07-28,0.112623
000151,中成股份,2021,2022-04-23,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000151&announcementId=1213062021&orgId=gssz0000151&announcementTime=2022-04-23,2022-04-25,2022-07-22,0.46911
000153,丰原药业,2021,2022-04-29,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000153&announcementId=1213211082&orgId=gssz0000153&announcementTime=2022-04-29,2022-05-05,2022-07-29,0.101257
000155,川能动力,2021,2022-04-21,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000155&announcementId=1213000861&orgId=gssz0000155&announcementTime=2022-04-21,2022-04-22,2022-08-04,0.380538
000156,华数传媒,2021,2022-04-29,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000156&announcementId=1213210132&orgId=gssz0000156&announcementTime=2022-04-29,2022-05-05,2022-07-29,0.00489
000157,中联重科,2021,2022-03-31,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000157&announcementId=1212746809&orgId=gssz0000157&announcementTime=2022-03-31,2022-04-01,2022-07-04,-0.022728
000158,常山北明,2021,2022-04-16,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000158&announcementId=1212942085&orgId=gssz0000158&announcementTime=2022-04-16,2022-04-18,2022-07-15,-0.088545
000159,国际实业,2021,2022-04-12,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000159&announcementId=1212882874&orgId=gssz0000159&announcementTime=2022-04-12,2022-04-13,2022-07-12,0.159574
000166,申万宏源,2021,2022-03-31,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000166&announcementId=1212752277&orgId=qsgn0000301&announcementTime=2022-03-31,2022-04-01,2022-07-04,-0.030864
000333,美的集团,2021,2022-04-30,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000333&announcementId=1213264815&orgId=9900005965&announcementTime=2022-04-30,2022-05-05,2022-07-29,-0.022808
000301,东方盛虹,2021,2022-04-19,2021年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000301&announcementId=1212962265&orgId=gssz0000301&announcementTime=2022-04-19,2022-04-20,2022-07-19,0.227875
