symbol,name,report_year,disclosure_date,pdf_title,pdf_url,buy_date,sell_date,future_return
600252,中恒集团,2023,2024-03-30,广西梧州中恒集团股份有限公司2023年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600252&announcementId=1219472956&orgId=gssh0600252&announcementTime=2024-03-30,2024-04-01,2024-07-02,-0.025962
600255,鑫科材料,2023,2024-03-30,鑫科材料2023年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600255&announcementId=1219463429&orgId=gssh0600255&announcementTime=2024-03-30,2024-04-01,2024-07-02,-0.083493
600256,广汇能源,2023,2024-04-20,广汇能源股份有限公司2023年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600256&announcementId=1219690298&orgId=gssh0600256&announcementTime=2024-04-20,2024-04-22,2024-07-19,-0.182977
600257,大湖股份,2023,2024-04-18,大湖水殖股份有限公司2023年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600257&announcementId=1219651824&orgId=gssh0600257&announcementTime=2024-04-18,2024-04-19,2024-07-18,-0.351313
600258,首旅酒店,2023,2024-03-29,北京首旅酒店（集团）股份有限公司2023年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600258&announcementId=1219441915&orgId=gssh0600258&announcementTime=2024-03-29,2024-04-01,2024-07-02,-0.103429
600259,中稀有色,2023,2024-03-29,广晟有色金属股份有限公司2023年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600259&announcementId=1219453318&orgId=gssh0600259&announcementTime=2024-03-29,2024-04-01,2024-07-02,-0.113005
600261,阳光照明,2023,2024-04-23,阳光照明2023年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600261&announcementId=1219742217&orgId=gssh0600261&announcementTime=2024-04-23,2024-04-24,2024-07-23,-0.10625
600262,北方股份,2023,2024-04-16,内蒙古北方重型汽车股份有限公司2023年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600262&announcementId=1219624040&orgId=gssh0600262&announcementTime=2024-04-16,2024-04-17,2024-07-16,0.126339
600265,ST景谷,2023,2024-04-24,2023年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600265&announcementId=1219773322&orgId=gssh0600265&announcementTime=2024-04-24,2024-04-25,2024-07-25,-0.19591
600266,城建发展,2023,2024-04-13,2023年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600266&announcementId=1219595758&orgId=gssh0600266&announcementTime=2024-04-13,2024-04-15,2024-07-12,0.108678
